# Freq[MHz]    T_sys[K]    A_effective/T[m^2/K]
5.800000000000000000e+02 3.145097253000000137e+01 3.770000000000000018e+00
6.000000000000000000e+02 3.030244111000000018e+01 3.919999999999999929e+00
6.500000000000000000e+02 2.793684247999999926e+01 4.089999999999999858e+00
7.000000000000000000e+02 2.610862067000000053e+01 4.339999999999999858e+00
7.500000000000000000e+02 2.465761523999999838e+01 4.620000000000000107e+00
8.000000000000000000e+02 2.347801079999999985e+01 4.849999999999999645e+00
8.500000000000000000e+02 2.249790518000000006e+01 5.110000000000000320e+00
9.000000000000000000e+02 2.166722859000000057e+01 5.299999999999999822e+00
9.500000000000000000e+02 2.095035455000000013e+01 5.509999999999999787e+00
1.000000000000000000e+03 2.032144411000000161e+01 5.730000000000000426e+00
